Essential DSA Interview Roadmap (Subcases Separated)
| Stage                      | Topic                       | Subcase                                                                 | Confidence Milestone (🎯)                        |
| -------------------------- | --------------------------- | ----------------------------------------------------------------------- | ------------------------------------------------ |
| **1: Fundamentals**        | Arrays                      | Traversal                                                               | Can solve medium array problems without hints    |
|                            | Arrays                      | Insertion                                                               |                                                  |
|                            | Arrays                      | Deletion                                                                |                                                  |
|                            | Arrays                      | Reverse                                                                 |                                                  |
|                            | Arrays                      | Rotate / Shift                                                          |                                                  |
|                            | Arrays                      | Prefix sums / Kadane’s algorithm                                        |                                                  |
|                            | Arrays                      | Two pointers (pairs/triplets, Dutch flag)                               |                                                  |
|                            | Arrays                      | Sliding window (subarray sums, max window)                              |                                                  |
|                            | Strings                     | Palindrome check                                                        | String manipulation feels natural                |
|                            | Strings                     | Reverse words                                                           |                                                  |
|                            | Strings                     | Anagram check                                                           |                                                  |
|                            | Strings                     | Frequency count                                                         |                                                  |
|                            | Strings                     | Substring search                                                        |                                                  |
|                            | Strings                     | Longest substring problems                                              |                                                  |
|                            | Recursion                   | Factorial                                                               | Comfortable writing recursive solutions          |
|                            | Recursion                   | Fibonacci                                                               |                                                  |
|                            | Recursion                   | Tower of Hanoi                                                          |                                                  |
|                            | Recursion                   | Generate subsets                                                        |                                                  |
|                            | Recursion                   | Generate permutations                                                   |                                                  |
|                            | Recursion                   | Divide & conquer basics (binary search recursion, merge sort recursion) |                                                  |
| **2: Linear DS**           | Linked Lists                | Single linked list insert                                               | Can implement linked list ops without reference  |
|                            | Linked Lists                | Single linked list delete                                               |                                                  |
|                            | Linked Lists                | Reverse linked list                                                     |                                                  |
|                            | Linked Lists                | Middle node                                                             |                                                  |
|                            | Linked Lists                | Detect cycle (Floyd’s)                                                  |                                                  |
|                            | Linked Lists                | Merge 2 sorted lists                                                    |                                                  |
|                            | Linked Lists                | Doubly linked list basics                                               |                                                  |
|                            | Linked Lists                | Circular linked list basics                                             |                                                  |
|                            | Stacks                      | Array implementation                                                    | Stack apps are routine                           |
|                            | Stacks                      | Linked list implementation                                              |                                                  |
|                            | Stacks                      | Balanced parentheses                                                    |                                                  |
|                            | Stacks                      | Min stack                                                               |                                                  |
|                            | Stacks                      | Infix → Postfix                                                         |                                                  |
|                            | Stacks                      | Evaluate postfix                                                        |                                                  |
|                            | Queues                      | Queue implementation                                                    | Knows when to pick queue vs stack                |
|                            | Queues                      | Circular queue                                                          |                                                  |
|                            | Queues                      | Deque                                                                   |                                                  |
|                            | Queues                      | Priority queue basics                                                   |                                                  |
| **3: Hierarchical DS**     | Trees                       | Tree traversals (inorder, preorder, postorder)                          | Can solve binary tree path/height/LCA problems   |
|                            | Trees                       | Level order traversal                                                   |                                                  |
|                            | Trees                       | Height calculation                                                      |                                                  |
|                            | Trees                       | Diameter of tree                                                        |                                                  |
|                            | Trees                       | Balanced check                                                          |                                                  |
|                            | Trees                       | Lowest common ancestor                                                  |                                                  |
|                            | Trees                       | BST insert                                                              |                                                  |
|                            | Trees                       | BST delete                                                              |                                                  |
|                            | Trees                       | BST search                                                              |                                                  |
|                            | Trees                       | AVL basics                                                              |                                                  |
|                            | Heaps                       | Build heap                                                              | Heap problems feel natural                       |
|                            | Heaps                       | Heapify                                                                 |                                                  |
|                            | Heaps                       | Heap sort                                                               |                                                  |
|                            | Heaps                       | Priority queue applications (k largest, kth smallest, median)           |                                                  |
|                            | Graphs                      | BFS (iterative & recursive)                                             | Can code BFS/DFS + detect cycles confidently     |
|                            | Graphs                      | DFS (iterative & recursive)                                             |                                                  |
|                            | Graphs                      | Connected components                                                    |                                                  |
|                            | Graphs                      | Cycle detection (undirected & directed)                                 |                                                  |
